face_x,face_y,face_width,face_height,face_cam_x,face_cam_y,face_cam_z,torso_x,torso_y,torso_width,torso_height,torso_cam_x,torso_cam_y,torso_cam_z,person_x,person_y,person_width,person_height,person_cam_x,person_cam_y,person_cam_z,mean_cam_z
292.0,94.0,99.0,73.0,0.3044814948342883,-1.122310660203775,5.626,201.0,140.0,327.0,249.0,0.15221428390009736,0.062389125901650175,1.5959999999999999,-1.0,-1.0,-1.0,-1.0,,,,3.611
203.0,124.0,80.0,55.0,-0.2480416940188676,-0.3305166828923605,2.039,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,2.039
198.0,138.0,68.0,48.0,-1.3056247614707674,-1.3161050848833504,9.235,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,9.235
198.0,140.0,55.0,42.0,-0.38421632222642105,-0.36015572885902164,2.496,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,2.496
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,277.0,143.0,335.0,137.0,0.4784312797939533,-0.11070932907705147,2.003,2.003
421.0,154.0,59.0,44.0,0.4553045608407921,-0.2144782128322224,1.824,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.824
450.0,154.0,58.0,47.0,2.4006894016782767,-0.9217024325711028,7.959,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,7.959
295.0,110.0,80.0,60.0,0.30316645978970136,-1.2703215938731112,6.992000000000001,242.0,159.0,309.0,188.0,0.8594635219306515,0.10974200611207426,5.626,-1.0,-1.0,-1.0,-1.0,,,,6.309
149.0,85.0,96.0,68.0,-1.2961646659223514,-1.3908826659958349,6.349,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,6.349
184.0,83.0,98.0,66.0,-0.8400184489025546,-1.350513967200078,6.018,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,6.018
329.0,131.0,72.0,50.0,,,,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,335.0,153.0,325.0,131.0,2.383159658233233,-0.3055261228715646,7.1370000000000005,7.1370000000000005
178.0,159.0,51.0,39.0,-0.37865996015525694,-0.22326267958648305,1.9580000000000002,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,1.9580000000000002
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,327.0,178.0,300.0,86.0,0.9862306221580972,-0.12397987862565438,3.3089999999999997,3.3089999999999997
-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,468.0,160.0,318.0,136.0,1.2367999121825195,-0.05453477010804695,2.181,2.181
227.0,139.0,67.0,48.0,-0.8649995511681725,-1.3354088369514199,9.488999999999999,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,9.488999999999999
167.0,118.0,77.0,55.0,-1.7072876122406668,-1.5541561880047154,8.995000000000003,-1.0,-1.0,-1.0,-1.0,,,,100.0,84.0,394.0,202.0,-0.1350903809170967,-0.5533146074270578,5.4479999999999995,7.221500000000002
53.0,85.0,95.0,69.0,-0.33199649543996523,-0.1923444606622055,0.878,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,0.878
51.0,60.0,111.0,83.0,-0.2218895183649378,-0.1516757824026185,0.604,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,0.604
103.0,32.0,128.0,95.0,-1.0434459476068092,-1.1742160224771068,4.045,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,4.045
212.0,0.0,143.0,116.0,-0.21988671562947448,-1.44374597326903,4.406000000000001,17.0,99.0,379.0,321.0,-0.7345570541459301,0.11794760505521786,3.907,6.0,0.0,477.0,349.0,-0.4682740123113031,-0.4733236561625338,3.907,3.907
439.0,0.0,153.0,123.0,0.2567064014684671,-0.2259575135647521,0.7010000000000001,260.0,119.0,356.0,350.0,0.16468529698327986,0.06678772427531672,0.722,-1.0,-1.0,-1.0,-1.0,,,,0.7115
438.0,1.0,137.0,129.0,1.1695445310750452,-1.0531308282922798,3.341,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,3.341
468.0,200.0,224.0,166.0,0.474574554885286,0.07167944032592459,0.983,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,0.983
344.0,1.0,129.0,137.0,0.7679178004915285,-1.3574557462370678,4.406000000000001,-1.0,-1.0,-1.0,-1.0,,,,-1.0,-1.0,-1.0,-1.0,,,,4.406000000000001
294.0,34.0,128.0,95.0,0.3825262571649973,-1.2962946048606776,4.521,191.0,132.0,346.0,313.0,0.12455629998341301,0.10685849345681464,1.306,-1.0,-1.0,-1.0,-1.0,,,,2.9135
159.0,54.0,121.0,87.0,-0.23666555975226644,-0.3710916808878656,1.4369999999999998,47.0,131.0,342.0,275.0,-0.25389383173375035,0.07047428105059171,1.525,-1.0,-1.0,-1.0,-1.0,,,,1.4809999999999999
